jhchang18
nlcsjeju
watched pot never boils
9
10
========1trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495169817628,1495169817819
a,65,1495169817707,1495169817864
t,84,1495169817785,1495169817875
c,67,1495169817943,1495169818055
h,72,1495169818033,1495169818134
e,69,1495169818145,1495169818213
d,68,1495169818314,1495169818383
 ,32,1495169818359,1495169818483
p,80,1495169818674,1495169818775
o,79,1495169818843,1495169818966
t,84,1495169818978,1495169819068
 ,32,1495169819113,1495169819203
n,78,1495169819349,1495169819450
e,69,1495169819462,1495169819529
v,86,1495169819563,1495169819641
e,69,1495169819698,1495169819810
r,82,1495169819776,1495169819878
 ,32,1495169819856,1495169819945
b,66,1495169819979,1495169820069
o,79,1495169820035,1495169820103
i,73,1495169820159,1495169820237
l,76,1495169820249,1495169820361
s,83,1495169820351,1495169820463
========2trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495169821172,1495169821295
a,65,1495169821307,1495169821442
t,84,1495169821442,1495169821520
c,67,1495169821622,1495169821723
h,72,1495169821689,1495169821768
e,69,1495169821813,1495169821869
d,68,1495169821971,1495169822027
 ,32,1495169822038,1495169822128
p,80,1495169822150,1495169822218
o,79,1495169822274,1495169822398
t,84,1495169822432,1495169822510
 ,32,1495169822544,1495169822645
n,78,1495169822736,1495169822826
e,69,1495169822814,1495169822893
v,86,1495169822916,1495169822994
e,69,1495169823051,1495169823140
r,82,1495169823118,1495169823196
 ,32,1495169823208,1495169823275
b,66,1495169823309,1495169823410
o,79,1495169823377,1495169823478
i,73,1495169823522,1495169823613
l,76,1495169823726,1495169823827
s,83,1495169823861,1495169823984
========3trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495169824873,1495169824985
a,65,1495169824997,1495169825120
t,84,1495169825076,1495169825154
c,67,1495169825256,1495169825345
h,72,1495169825323,1495169825413
e,69,1495169825447,1495169825503
d,68,1495169825616,1495169825683
 ,32,1495169825672,1495169825762
p,80,1495169825773,1495169825851
o,79,1495169825930,1495169826043
t,84,1495169826043,1495169826144
 ,32,1495169826133,1495169826223
n,78,1495169826279,1495169826380
e,69,1495169826403,1495169826470
v,86,1495169826493,1495169826583
e,69,1495169826639,1495169826740
r,82,1495169826707,1495169826808
 ,32,1495169826819,1495169826875
b,66,1495169826909,1495169827011
o,79,1495169826965,1495169827033
i,73,1495169827089,1495169827168
l,76,1495169827179,1495169827292
s,83,1495169827348,1495169827472
========4trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495169828226,1495169828338
a,65,1495169828372,1495169828563
t,84,1495169828496,1495169828585
c,67,1495169828709,1495169828822
h,72,1495169828822,1495169828912
e,69,1495169828957,1495169829024
d,68,1495169829125,1495169829227
 ,32,1495169829205,1495169829317
p,80,1495169829407,1495169829553
o,79,1495169829564,1495169829699
t,84,1495169829677,1495169829777
 ,32,1495169829767,1495169829846
n,78,1495169829846,1495169829947
e,69,1495169829958,1495169829992
v,86,1495169830026,1495169830115
e,69,1495169830194,1495169830307
r,82,1495169830273,1495169830385
 ,32,1495169830397,1495169830487
b,66,1495169830588,1495169830689
o,79,1495169830678,1495169830768
i,73,1495169830847,1495169830914
l,76,1495169830937,1495169831049
s,83,1495169831038,1495169831162
========5trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495169836371,1495169836517
a,65,1495169836472,1495169836607
t,84,1495169836528,1495169836618
c,67,1495169836742,1495169836854
h,72,1495169836866,1495169836944
e,69,1495169836967,1495169837068
d,68,1495169837146,1495169837259
 ,32,1495169837237,1495169837327
p,80,1495169837338,1495169837417
o,79,1495169837485,1495169837597
t,84,1495169837552,1495169837675
 ,32,1495169837653,1495169837754
n,78,1495169837743,1495169837857
e,69,1495169837845,1495169837957
v,86,1495169837946,1495169838036
e,69,1495169838081,1495169838249
r,82,1495169838171,1495169838272
 ,32,1495169838261,1495169838328
b,66,1495169838362,1495169838474
o,79,1495169838430,1495169838497
i,73,1495169838542,1495169838643
l,76,1495169838688,1495169838812
s,83,1495169838823,1495169838947
========6trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495169839622,1495169839780
a,65,1495169839712,1495169839858
t,84,1495169839768,1495169839880
c,67,1495169840027,1495169840139
h,72,1495169840196,1495169840297
e,69,1495169840331,1495169840398
d,68,1495169840466,1495169840556
 ,32,1495169840533,1495169840634
p,80,1495169840725,1495169840781
o,79,1495169840871,1495169840994
t,84,1495169840972,1495169841073
 ,32,1495169841062,1495169841152
n,78,1495169841141,1495169841242
e,69,1495169841298,1495169841411
v,86,1495169841467,1495169841557
e,69,1495169841602,1495169841737
r,82,1495169841692,1495169841804
 ,32,1495169841805,1495169841895
b,66,1495169841951,1495169842063
o,79,1495169842018,1495169842131
i,73,1495169842153,1495169842243
l,76,1495169842255,1495169842367
s,83,1495169842345,1495169842480
========7trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495169843335,1495169843481
a,65,1495169843413,1495169843548
t,84,1495169843458,1495169843548
c,67,1495169843650,1495169843739
h,72,1495169843717,1495169843818
e,69,1495169843830,1495169843886
d,68,1495169843976,1495169844054
 ,32,1495169844032,1495169844133
p,80,1495169844100,1495169844178
o,79,1495169844223,1495169844336
t,84,1495169844291,1495169844392
 ,32,1495169844403,1495169844482
n,78,1495169844493,1495169844595
e,69,1495169844572,1495169844651
v,86,1495169844662,1495169844752
e,69,1495169844786,1495169844910
r,82,1495169844865,1495169844966
 ,32,1495169844955,1495169845044
b,66,1495169845067,1495169845168
o,79,1495169845123,1495169845191
i,73,1495169845225,1495169845326
l,76,1495169845315,1495169845416
s,83,1495169845382,1495169845528
========8trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495169849410,1495169849545
a,65,1495169849579,1495169849713
t,84,1495169849669,1495169849747
c,67,1495169849826,1495169849916
h,72,1495169849905,1495169849995
e,69,1495169850017,1495169850085
d,68,1495169850152,1495169850253
 ,32,1495169850220,1495169850332
p,80,1495169850434,1495169850512
o,79,1495169850580,1495169850692
t,84,1495169850670,1495169850782
 ,32,1495169850771,1495169850827
n,78,1495169850850,1495169850939
e,69,1495169850917,1495169851007
v,86,1495169851030,1495169851120
e,69,1495169851131,1495169851288
r,82,1495169851243,1495169851356
 ,32,1495169851367,1495169851446
b,66,1495169851469,1495169851558
o,79,1495169851547,1495169851615
i,73,1495169851659,1495169851727
l,76,1495169851739,1495169851828
s,83,1495169851817,1495169851941
========9trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495169860469,1495169860648
a,65,1495169860581,1495169860739
t,84,1495169860637,1495169860750
c,67,1495169860840,1495169860975
h,72,1495169860986,1495169861087
e,69,1495169861110,1495169861189
d,68,1495169861267,1495169861369
 ,32,1495169861504,1495169861627
p,80,1495169861706,1495169861785
o,79,1495169861830,1495169861954
t,84,1495169861920,1495169862021
 ,32,1495169862010,1495169862100
n,78,1495169862089,1495169862179
e,69,1495169862156,1495169862257
v,86,1495169862280,1495169862347
e,69,1495169862359,1495169862505
r,82,1495169862471,1495169862550
 ,32,1495169862561,1495169862640
b,66,1495169862708,1495169862764
o,79,1495169862775,1495169862865
i,73,1495169862899,1495169863067
l,76,1495169863056,1495169863180
s,83,1495169863236,1495169863382
========10trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495169867815,1495169867927
a,65,1495169867894,1495169868040
t,84,1495169867962,1495169868051
c,67,1495169868118,1495169868231
h,72,1495169868243,1495169868344
e,69,1495169868332,1495169868400
d,68,1495169868468,1495169868591
 ,32,1495169868546,1495169868670
p,80,1495169868603,1495169868715
o,79,1495169868738,1495169868872
t,84,1495169868861,1495169868974
 ,32,1495169868963,1495169869063
n,78,1495169869199,1495169869289
e,69,1495169869278,1495169869367
v,86,1495169869379,1495169869458
e,69,1495169869503,1495169869637
r,82,1495169869581,1495169869671
 ,32,1495169869660,1495169869761
b,66,1495169869773,1495169869874
o,79,1495169869851,1495169869964
i,73,1495169870054,1495169870155
l,76,1495169870178,1495169870301
s,83,1495169870335,1495169870470
