jhchang18
nlcsjeju
time is money
5
10
========1trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495169758633,1495169758746
i,73,1495169758723,1495169758824
m,77,1495169758813,1495169758914
e,69,1495169758903,1495169759015
 ,32,1495169759004,1495169759105
i,73,1495169759117,1495169759195
s,83,1495169759184,1495169759285
 ,32,1495169759274,1495169759353
m,77,1495169759376,1495169759488
o,79,1495169759499,1495169759589
n,78,1495169759623,1495169759713
e,69,1495169759691,1495169759803
y,89,1495169759837,1495169759927
========2trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495169760793,1495169760883
i,73,1495169760850,1495169760905
m,77,1495169760939,1495169761040
e,69,1495169761007,1495169761119
 ,32,1495169761130,1495169761243
i,73,1495169761255,1495169761333
s,83,1495169761344,1495169761468
 ,32,1495169761435,1495169761524
m,77,1495169761648,1495169761749
o,79,1495169761806,1495169761906
n,78,1495169761941,1495169761997
e,69,1495169762244,1495169762357
y,89,1495169762425,1495169762514
========3trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495169767375,1495169767487
i,73,1495169767453,1495169767532
m,77,1495169767566,1495169767667
e,69,1495169767757,1495169767869
 ,32,1495169767914,1495169768038
i,73,1495169768106,1495169768196
s,83,1495169768218,1495169768342
 ,32,1495169768331,1495169768432
m,77,1495169768466,1495169768544
o,79,1495169768567,1495169768657
n,78,1495169768725,1495169768814
e,69,1495169768837,1495169768949
y,89,1495169768972,1495169769051
========4trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495169769951,1495169770052
i,73,1495169770041,1495169770097
m,77,1495169770142,1495169770221
e,69,1495169770243,1495169770333
 ,32,1495169770322,1495169770423
i,73,1495169770445,1495169770524
s,83,1495169770536,1495169770671
 ,32,1495169770727,1495169770851
m,77,1495169770896,1495169770952
o,79,1495169770986,1495169771087
n,78,1495169771132,1495169771234
e,69,1495169771222,1495169771334
y,89,1495169771380,1495169771458
========5trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495169772133,1495169772223
i,73,1495169772201,1495169772268
m,77,1495169772336,1495169772426
e,69,1495169772527,1495169772673
 ,32,1495169772718,1495169772808
i,73,1495169772921,1495169773022
s,83,1495169773011,1495169773123
 ,32,1495169773090,1495169773190
m,77,1495169773202,1495169773303
o,79,1495169773314,1495169773404
n,78,1495169773450,1495169773539
e,69,1495169773551,1495169773697
y,89,1495169773686,1495169773753
========6trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495169774293,1495169774372
i,73,1495169774350,1495169774417
m,77,1495169774440,1495169774530
e,69,1495169774496,1495169774631
 ,32,1495169774620,1495169774732
i,73,1495169774766,1495169774856
s,83,1495169774878,1495169775003
 ,32,1495169774980,1495169775069
m,77,1495169775227,1495169775317
o,79,1495169775340,1495169775452
n,78,1495169775497,1495169775598
e,69,1495169775621,1495169775744
y,89,1495169775767,1495169775834
========7trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495169776735,1495169776824
i,73,1495169776791,1495169776858
m,77,1495169776881,1495169777016
e,69,1495169776994,1495169777106
 ,32,1495169777083,1495169777173
i,73,1495169777196,1495169777286
s,83,1495169777286,1495169777387
 ,32,1495169777376,1495169777455
m,77,1495169777466,1495169777545
o,79,1495169777578,1495169777668
n,78,1495169777702,1495169777781
e,69,1495169777815,1495169777938
y,89,1495169777927,1495169778006
========8trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495169778726,1495169778827
i,73,1495169778794,1495169778849
m,77,1495169778895,1495169778973
e,69,1495169778996,1495169779097
 ,32,1495169779041,1495169779147
i,73,1495169779187,1495169779266
s,83,1495169779255,1495169779378
 ,32,1495169779390,1495169779491
m,77,1495169779615,1495169779716
o,79,1495169779727,1495169779817
n,78,1495169779874,1495169779963
e,69,1495169779997,1495169780110
y,89,1495169780121,1495169780199
========9trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495169780863,1495169780942
i,73,1495169780909,1495169780976
m,77,1495169781021,1495169781122
e,69,1495169781133,1495169781223
 ,32,1495169781201,1495169781302
i,73,1495169781325,1495169781404
s,83,1495169781415,1495169781516
 ,32,1495169781471,1495169781572
m,77,1495169781584,1495169781662
o,79,1495169781674,1495169781752
n,78,1495169781797,1495169781876
e,69,1495169781944,1495169782101
y,89,1495169782045,1495169782134
========10trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495169782956,1495169783125
i,73,1495169783575,1495169783665
m,77,1495169783721,1495169783822
e,69,1495169783856,1495169783957
 ,32,1495169783924,1495169784036
i,73,1495169784047,1495169784137
s,83,1495169784126,1495169784238
 ,32,1495169784204,1495169784295
m,77,1495169784284,1495169784373
o,79,1495169784385,1495169784463
n,78,1495169784508,1495169784576
e,69,1495169784644,1495169784767
y,89,1495169784745,1495169784835
