jmjeon18
nlcsjeju
a picture is worth a thousand words
8
10
========1trial========
KeyChar,keyCode,timePressed,timeReleased
a,65,1495170027340,1495170027452
 ,32,1495170027419,1495170027520
p,80,1495170027587,1495170027677
i,73,1495170027722,1495170027790
c,67,1495170027857,1495170027936
t,84,1495170028071,1495170028139
u,85,1495170028150,1495170028217
r,82,1495170028251,1495170028363
e,69,1495170028319,1495170028465
 ,32,1495170028420,1495170028532
i,73,1495170028555,1495170028645
s,83,1495170028667,1495170028780
 ,32,1495170028724,1495170028859
w,87,1495170028892,1495170028993
o,79,1495170028960,1495170029050
r,82,1495170029084,1495170029151
t,84,1495170029241,1495170029297
h,72,1495170029309,1495170029376
 ,32,1495170029399,1495170029488
a,65,1495170029534,1495170029612
 ,32,1495170029635,1495170029714
t,84,1495170029894,1495170029972
h,72,1495170029995,1495170030051
o,79,1495170030130,1495170030231
u,85,1495170030197,1495170030287
s,83,1495170030411,1495170030512
a,65,1495170030580,1495170030681
n,78,1495170030715,1495170030771
d,68,1495170030794,1495170030917
 ,32,1495170030918,1495170031030
w,87,1495170031019,1495170031108
o,79,1495170031098,1495170031176
r,82,1495170031187,1495170031255
d,68,1495170031334,1495170031423
s,83,1495170031446,1495170031536
========2trial========
KeyChar,keyCode,timePressed,timeReleased
a,65,1495170032313,1495170032436
 ,32,1495170032425,1495170032537
p,80,1495170032684,1495170032774
i,73,1495170032830,1495170032920
c,67,1495170032942,1495170033021
t,84,1495170033134,1495170033212
u,85,1495170033269,1495170033325
r,82,1495170033336,1495170033460
e,69,1495170033438,1495170033572
 ,32,1495170033550,1495170033662
i,73,1495170033730,1495170033808
s,83,1495170033820,1495170033943
 ,32,1495170033899,1495170034011
w,87,1495170034079,1495170034191
o,79,1495170034180,1495170034258
r,82,1495170034281,1495170034349
t,84,1495170034450,1495170034529
h,72,1495170034540,1495170034596
 ,32,1495170034630,1495170034720
a,65,1495170034776,1495170034889
 ,32,1495170034900,1495170035001
t,84,1495170035103,1495170035170
h,72,1495170035181,1495170035237
o,79,1495170035328,1495170035417
u,85,1495170035373,1495170035474
s,83,1495170035575,1495170035631
a,65,1495170035879,1495170035980
n,78,1495170036003,1495170036070
d,68,1495170036115,1495170036250
 ,32,1495170036239,1495170036362
w,87,1495170036408,1495170036486
o,79,1495170036497,1495170036576
r,82,1495170036565,1495170036632
d,68,1495170036689,1495170036812
s,83,1495170036801,1495170036869
========3trial========
KeyChar,keyCode,timePressed,timeReleased
a,65,1495170051280,1495170051393
 ,32,1495170051382,1495170051483
p,80,1495170051528,1495170051652
i,73,1495170051664,1495170051741
c,67,1495170051831,1495170051921
t,84,1495170052057,1495170052135
u,85,1495170052146,1495170052225
r,82,1495170052237,1495170052349
e,69,1495170052315,1495170052439
 ,32,1495170052406,1495170052518
i,73,1495170052507,1495170052597
s,83,1495170052619,1495170052731
 ,32,1495170052698,1495170052821
w,87,1495170053069,1495170053148
o,79,1495170053159,1495170053226
r,82,1495170053272,1495170053350
t,84,1495170053553,1495170053620
h,72,1495170053677,1495170053733
 ,32,1495170053755,1495170053845
a,65,1495170054025,1495170054127
 ,32,1495170054104,1495170054205
t,84,1495170054329,1495170054397
h,72,1495170054419,1495170054475
o,79,1495170054588,1495170054666
u,85,1495170054633,1495170054723
s,83,1495170054881,1495170054970
a,65,1495170055038,1495170055116
n,78,1495170055150,1495170055229
d,68,1495170055240,1495170055353
 ,32,1495170055342,1495170055465
w,87,1495170055634,1495170055724
o,79,1495170055713,1495170055780
r,82,1495170055792,1495170055859
d,68,1495170055938,1495170056050
s,83,1495170056028,1495170056118
========4trial========
KeyChar,keyCode,timePressed,timeReleased
a,65,1495170056579,1495170056714
 ,32,1495170056681,1495170056793
p,80,1495170056872,1495170056962
i,73,1495170057018,1495170057108
c,67,1495170057142,1495170057220
t,84,1495170057355,1495170057423
u,85,1495170057479,1495170057535
r,82,1495170057547,1495170057670
e,69,1495170057625,1495170057760
 ,32,1495170057727,1495170057828
i,73,1495170057850,1495170057929
s,83,1495170057952,1495170058075
 ,32,1495170058042,1495170058177
w,87,1495170058188,1495170058266
o,79,1495170058255,1495170058334
r,82,1495170058368,1495170058424
t,84,1495170058514,1495170058593
h,72,1495170058627,1495170058683
 ,32,1495170058705,1495170058784
a,65,1495170058897,1495170058987
 ,32,1495170059009,1495170059099
t,84,1495170059212,1495170059268
h,72,1495170059336,1495170059391
o,79,1495170059516,1495170059594
u,85,1495170059549,1495170059650
s,83,1495170059763,1495170059841
a,65,1495170059909,1495170059988
n,78,1495170060010,1495170060078
d,68,1495170060089,1495170060202
 ,32,1495170060191,1495170060314
w,87,1495170060303,1495170060381
o,79,1495170060371,1495170060472
r,82,1495170060461,1495170060528
d,68,1495170060584,1495170060719
s,83,1495170060697,1495170060798
========5trial========
KeyChar,keyCode,timePressed,timeReleased
a,65,1495170064691,1495170064803
 ,32,1495170064769,1495170064893
p,80,1495170064994,1495170065095
i,73,1495170065141,1495170065219
c,67,1495170065231,1495170065321
t,84,1495170065456,1495170065512
u,85,1495170065557,1495170065624
r,82,1495170065703,1495170065804
e,69,1495170065782,1495170065917
 ,32,1495170065883,1495170065995
i,73,1495170066041,1495170066130
s,83,1495170066142,1495170066243
 ,32,1495170066187,1495170066322
w,87,1495170066356,1495170066445
o,79,1495170066457,1495170066524
r,82,1495170066547,1495170066614
t,84,1495170066693,1495170066783
h,72,1495170066806,1495170066873
 ,32,1495170066885,1495170066974
a,65,1495170067031,1495170067133
 ,32,1495170067121,1495170067210
t,84,1495170067346,1495170067413
h,72,1495170067683,1495170067739
o,79,1495170067841,1495170067931
