jmjeon18
nlcsjeju
watched pot never boils
6
10
========1trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495168225372,1495168225473
a,65,1495168225574,1495168225720
t,84,1495168225777,1495168225878
c,67,1495168226373,1495168226463
h,72,1495168226485,1495168226553
e,69,1495168226620,1495168226699
d,68,1495168226812,1495168226935
 ,32,1495168226890,1495168227003
p,80,1495168227082,1495168227216
o,79,1495168227206,1495168227318
t,84,1495168227363,1495168227464
 ,32,1495168227453,1495168227565
n,78,1495168227667,1495168227745
e,69,1495168227790,1495168227869
v,86,1495168227970,1495168228026
e,69,1495168228117,1495168228229
r,82,1495168228195,1495168228308
 ,32,1495168228263,1495168228375
b,66,1495168228454,1495168228510
o,79,1495168228544,1495168228633
i,73,1495168228713,1495168228814
l,76,1495168228882,1495168228983
s,83,1495168229073,1495168229163
========2trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495168230220,1495168230310
a,65,1495168230389,1495168230490
t,84,1495168230547,1495168230614
c,67,1495168230783,1495168230839
h,72,1495168230884,1495168230952
e,69,1495168230985,1495168231053
d,68,1495168231154,1495168231266
 ,32,1495168231244,1495168231334
p,80,1495168231391,1495168231480
o,79,1495168231514,1495168231627
t,84,1495168231660,1495168231773
 ,32,1495168231751,1495168231863
n,78,1495168231931,1495168232009
e,69,1495168232054,1495168232122
v,86,1495168232223,1495168232279
e,69,1495168232380,1495168232482
r,82,1495168232459,1495168232572
 ,32,1495168232527,1495168232639
b,66,1495168232752,1495168232819
o,79,1495168232864,1495168232954
i,73,1495168233022,1495168233112
l,76,1495168233168,1495168233269
s,83,1495168233359,1495168233427
========3trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495168234327,1495168234417
a,65,1495168234484,1495168234597
t,84,1495168234642,1495168234720
c,67,1495168234934,1495168234990
h,72,1495168235024,1495168235092
e,69,1495168235137,1495168235215
d,68,1495168235328,1495168235452
 ,32,1495168235429,1495168235519
p,80,1495168235666,1495168235766
o,79,1495168235801,1495168235902
t,84,1495168235969,1495168236048
 ,32,1495168236093,1495168236194
n,78,1495168236318,1495168236385
e,69,1495168236431,1495168236498
v,86,1495168236599,1495168236655
e,69,1495168236768,1495168236869
r,82,1495168236835,1495168236948
 ,32,1495168236914,1495168237015
b,66,1495168237106,1495168237162
o,79,1495168237184,1495168237252
i,73,1495168237308,1495168237386
l,76,1495168237421,1495168237510
s,83,1495168237556,1495168237645
========4trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495168238051,1495168238140
a,65,1495168238219,1495168238298
t,84,1495168238354,1495168238433
c,67,1495168238602,1495168238658
h,72,1495168238692,1495168238759
e,69,1495168238816,1495168238894
d,68,1495168238996,1495168239096
 ,32,1495168239074,1495168239176
p,80,1495168239221,1495168239344
o,79,1495168239333,1495168239434
t,84,1495168239479,1495168239569
 ,32,1495168239581,1495168239682
n,78,1495168239761,1495168239839
e,69,1495168239862,1495168239929
v,86,1495168240008,1495168240087
e,69,1495168240177,1495168240278
r,82,1495168240244,1495168240357
 ,32,1495168240334,1495168240424
b,66,1495168240515,1495168240582
o,79,1495168240593,1495168240649
i,73,1495168240717,1495168240796
l,76,1495168240829,1495168240919
s,83,1495168240953,1495168241054
========5trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495168241459,1495168241538
a,65,1495168241617,1495168241706
t,84,1495168241763,1495168241842
c,67,1495168241999,1495168242067
h,72,1495168242101,1495168242168
e,69,1495168242213,1495168242269
d,68,1495168242382,1495168242494
 ,32,1495168242460,1495168242562
p,80,1495168242607,1495168242686
o,79,1495168242719,1495168242809
t,84,1495168242866,1495168242955
 ,32,1495168242967,1495168243057
n,78,1495168243124,1495168243203
