jmjeon18
nlcsjeju
time is money
3
10
========1trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495168175395,1495168175395
i,73,1495168175444,1495168175523
m,77,1495168175590,1495168175680
e,69,1495168175759,1495168175860
 ,32,1495168175906,1495168176029
i,73,1495168176141,1495168176209
s,83,1495168176243,1495168176344
 ,32,1495168176288,1495168176412
m,77,1495168176491,1495168176569
o,79,1495168176592,1495168176704
n,78,1495168176693,1495168176749
e,69,1495168176772,1495168176873
y,89,1495168176851,1495168176952
========2trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495168177424,1495168177503
i,73,1495168177514,1495168177570
m,77,1495168177649,1495168177694
e,69,1495168177717,1495168177840
 ,32,1495168177807,1495168177897
i,73,1495168177942,1495168178032
s,83,1495168178043,1495168178144
 ,32,1495168178099,1495168178201
m,77,1495168178504,1495168178583
o,79,1495168178617,1495168178718
n,78,1495168178707,1495168178785
e,69,1495168178808,1495168178920
y,89,1495168178887,1495168178977
========3trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495168183252,1495168183319
i,73,1495168183308,1495168183387
m,77,1495168183432,1495168183544
e,69,1495168183533,1495168183645
 ,32,1495168183601,1495168183713
i,73,1495168183747,1495168183803
s,83,1495168183848,1495168183960
 ,32,1495168183916,1495168184028
m,77,1495168184276,1495168184354
o,79,1495168184377,1495168184467
n,78,1495168184455,1495168184534
e,69,1495168184546,1495168184647
y,89,1495168184636,1495168184703
========4trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495168187088,1495168187133
i,73,1495168187167,1495168187223
m,77,1495168187774,1495168187853
e,69,1495168187910,1495168187999
 ,32,1495168188044,1495168188145
i,73,1495168188213,1495168188281
s,83,1495168188303,1495168188404
 ,32,1495168188371,1495168188449
m,77,1495168188528,1495168188607
o,79,1495168188596,1495168188685
n,78,1495168188697,1495168188764
e,69,1495168188798,1495168188877
y,89,1495168188843,1495168188944
========5trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495168189496,1495168189568
i,73,1495168189574,1495168189631
m,77,1495168189687,1495168189777
e,69,1495168189788,1495168189889
 ,32,1495168190362,1495168190452
i,73,1495168190508,1495168190587
s,83,1495168190598,1495168190711
 ,32,1495168190666,1495168190767
m,77,1495168190879,1495168190947
o,79,1495168190958,1495168191037
n,78,1495168191060,1495168191127
e,69,1495168191161,1495168191284
y,89,1495168191262,1495168191329
========6trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495168193264,1495168193309
i,73,1495168193321,1495168193388
m,77,1495168193478,1495168193557
e,69,1495168193568,1495168193658
 ,32,1495168193748,1495168193838
i,73,1495168193906,1495168193973
s,83,1495168193996,1495168194086
 ,32,1495168194041,1495168194153
m,77,1495168194176,1495168194243
o,79,1495168194254,1495168194333
n,78,1495168194345,1495168194412
e,69,1495168194446,1495168194547
y,89,1495168194536,1495168194603
========7trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495168195031,1495168195098
i,73,1495168195087,1495168195154
m,77,1495168195211,1495168195301
e,69,1495168195323,1495168195436
 ,32,1495168195391,1495168195514
i,73,1495168195773,1495168195841
s,83,1495168195908,1495168196009
 ,32,1495168196111,1495168196212
m,77,1495168196325,1495168196392
o,79,1495168196370,1495168196459
n,78,1495168196482,1495168196549
e,69,1495168196583,1495168196684
y,89,1495168196662,1495168196741
========8trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495168197303,1495168197382
i,73,1495168197393,1495168197461
m,77,1495168197540,1495168197629
e,69,1495168197641,1495168197743
 ,32,1495168197719,1495168197832
i,73,1495168197933,1495168198001
s,83,1495168198046,1495168198146
 ,32,1495168198102,1495168198214
m,77,1495168198271,1495168198338
o,79,1495168198361,1495168198462
n,78,1495168198451,1495168198518
e,69,1495168198575,1495168198664
y,89,1495168198641,1495168198721
========9trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495168199194,1495168199261
i,73,1495168199283,1495168199328
m,77,1495168199396,1495168199486
e,69,1495168199497,1495168199598
 ,32,1495168199565,1495168199677
i,73,1495168199745,1495168199823
s,83,1495168199981,1495168200071
 ,32,1495168200026,1495168200138
m,77,1495168200240,1495168200307
o,79,1495168200318,1495168200419
n,78,1495168200442,1495168200498
e,69,1495168200588,1495168200689
y,89,1495168200678,1495168200757
========10trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495168201398,1495168201454
i,73,1495168201500,1495168201567
m,77,1495168201635,1495168201736
e,69,1495168201770,1495168201860
 ,32,1495168201815,1495168201938
i,73,1495168202276,1495168202343
s,83,1495168202411,1495168202467
 ,32,1495168202422,1495168202523
m,77,1495168202591,1495168202670
o,79,1495168202726,1495168202816
n,78,1495168202827,1495168202895
e,69,1495168202928,1495168203007
y,89,1495168203019,1495168203074
