shlee18
nlcsjeju
watched pot never boils
11
10
========1trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495170214430,1495170214531
a,65,1495170214520,1495170214678
t,84,1495170214712,1495170214801
c,67,1495170214948,1495170215027
h,72,1495170215049,1495170215128
e,69,1495170215274,1495170215341
d,68,1495170215465,1495170215499
 ,32,1495170215567,1495170215656
p,80,1495170215758,1495170215983
o,79,1495170216208,1495170216309
t,84,1495170216320,1495170216376
 ,32,1495170216433,1495170216511
n,78,1495170216703,1495170216804
e,69,1495170216826,1495170216894
v,86,1495170216962,1495170217051
e,69,1495170217130,1495170217220
r,82,1495170217198,1495170217265
 ,32,1495170217288,1495170217378
b,66,1495170217558,1495170217636
o,79,1495170217873,1495170218030
i,73,1495170218019,1495170218086
l,76,1495170218154,1495170218255
s,83,1495170218267,1495170218334
========2trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495170221563,1495170221709
a,65,1495170221687,1495170221889
t,84,1495170221990,1495170222069
c,67,1495170222204,1495170222294
h,72,1495170222328,1495170222429
e,69,1495170222418,1495170222474
d,68,1495170222598,1495170222665
 ,32,1495170222688,1495170222755
p,80,1495170222868,1495170223026
o,79,1495170223025,1495170223194
t,84,1495170223239,1495170223318
 ,32,1495170223340,1495170223419
n,78,1495170223543,1495170223621
e,69,1495170223611,1495170223700
v,86,1495170223790,1495170223869
e,69,1495170223948,1495170224072
r,82,1495170224060,1495170224150
 ,32,1495170224162,1495170224252
b,66,1495170224342,1495170224409
o,79,1495170224488,1495170224679
i,73,1495170224634,1495170224769
l,76,1495170224837,1495170224926
s,83,1495170224949,1495170225005
========3trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495170225669,1495170225793
a,65,1495170225815,1495170225939
t,84,1495170225973,1495170226051
c,67,1495170226524,1495170226614
h,72,1495170226671,1495170226749
e,69,1495170226738,1495170226805
d,68,1495170226907,1495170226974
 ,32,1495170226997,1495170227075
p,80,1495170227312,1495170227435
o,79,1495170227413,1495170227537
t,84,1495170227593,1495170227683
 ,32,1495170227751,1495170227818
n,78,1495170227976,1495170228077
e,69,1495170228088,1495170228200
v,86,1495170228234,1495170228302
e,69,1495170228347,1495170228470
r,82,1495170228448,1495170228538
 ,32,1495170228572,1495170228616
b,66,1495170228707,1495170228751
o,79,1495170228887,1495170229010
i,73,1495170228965,1495170229067
l,76,1495170229146,1495170229247
s,83,1495170229269,1495170229325
========4trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495170229978,1495170230125
a,65,1495170230102,1495170230226
t,84,1495170230271,1495170230349
c,67,1495170230484,1495170230574
h,72,1495170230586,1495170230687
e,69,1495170230664,1495170230720
d,68,1495170230833,1495170230900
 ,32,1495170230934,1495170230991
p,80,1495170231182,1495170231317
o,79,1495170231272,1495170231396
t,84,1495170231441,1495170231508
 ,32,1495170231576,1495170231643
n,78,1495170231891,1495170231980
e,69,1495170231958,1495170232048
v,86,1495170232104,1495170232183
e,69,1495170232251,1495170232352
r,82,1495170232329,1495170232408
 ,32,1495170232464,1495170232532
b,66,1495170232656,1495170232689
o,79,1495170232835,1495170232959
i,73,1495170232926,1495170233027
l,76,1495170233117,1495170233207
s,83,1495170233241,1495170233308
========5trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495170233938,1495170234039
a,65,1495170234051,1495170234174
t,84,1495170234197,1495170234276
c,67,1495170234422,1495170234500
h,72,1495170234545,1495170234613
e,69,1495170234602,1495170234658
d,68,1495170234771,1495170234827
 ,32,1495170234894,1495170234951
p,80,1495170235097,1495170235243
o,79,1495170235187,1495170235311
t,84,1495170235344,1495170235401
 ,32,1495170235457,1495170235524
n,78,1495170235637,1495170235704
e,69,1495170235693,1495170235783
v,86,1495170235873,1495170235952
e,69,1495170236019,1495170236121
r,82,1495170236098,1495170236177
 ,32,1495170236256,1495170236312
b,66,1495170236391,1495170236435
o,79,1495170236537,1495170236649
i,73,1495170236604,1495170236728
l,76,1495170236818,1495170236908
s,83,1495170236919,1495170236987
========6trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495170237561,1495170237673
a,65,1495170237707,1495170237819
t,84,1495170237820,1495170237887
c,67,1495170238033,1495170238123
h,72,1495170238146,1495170238224
e,69,1495170238236,1495170238292
d,68,1495170238416,1495170238483
 ,32,1495170238506,1495170238562
p,80,1495170238708,1495170238832
o,79,1495170238787,1495170238922
t,84,1495170238945,1495170239012
 ,32,1495170239079,1495170239147
n,78,1495170239259,1495170239328
e,69,1495170239316,1495170239406
