shlee18
nlcsjeju
time is money
5
10
========1trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495170139043,1495170139121
i,73,1495170139099,1495170139211
m,77,1495170139166,1495170139268
e,69,1495170139234,1495170139324
 ,32,1495170139358,1495170139414
i,73,1495170139470,1495170139560
s,83,1495170139549,1495170139616
 ,32,1495170139628,1495170139695
m,77,1495170139797,1495170139898
o,79,1495170139864,1495170139976
n,78,1495170139999,1495170140078
e,69,1495170140021,1495170140111
y,89,1495170140179,1495170140235
========2trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495170140708,1495170140775
i,73,1495170140764,1495170140854
m,77,1495170140832,1495170140899
e,69,1495170140910,1495170140966
 ,32,1495170140989,1495170141045
i,73,1495170141113,1495170141191
s,83,1495170141181,1495170141247
 ,32,1495170141304,1495170141360
m,77,1495170141484,1495170141585
o,79,1495170141574,1495170141687
n,78,1495170141698,1495170141776
e,69,1495170141766,1495170141844
y,89,1495170141878,1495170141934
========3trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495170142531,1495170142609
i,73,1495170142598,1495170142699
m,77,1495170142654,1495170142744
e,69,1495170142733,1495170142800
 ,32,1495170142834,1495170142890
i,73,1495170142947,1495170143025
s,83,1495170143048,1495170143115
 ,32,1495170143138,1495170143205
m,77,1495170143318,1495170143419
o,79,1495170143397,1495170143532
n,78,1495170143532,1495170143666
e,69,1495170143689,1495170143756
y,89,1495170143779,1495170143847
========4trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495170147638,1495170147728
i,73,1495170147705,1495170147807
m,77,1495170147773,1495170147851
e,69,1495170147829,1495170147919
 ,32,1495170147942,1495170147998
i,73,1495170148066,1495170148144
s,83,1495170148156,1495170148245
 ,32,1495170148234,1495170148302
m,77,1495170148404,1495170148515
o,79,1495170148482,1495170148572
n,78,1495170148594,1495170148695
e,69,1495170148639,1495170148729
y,89,1495170148797,1495170148864
========5trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495170160069,1495170160126
i,73,1495170160103,1495170160216
m,77,1495170160171,1495170160272
e,69,1495170160249,1495170160351
 ,32,1495170160373,1495170160452
i,73,1495170160531,1495170160632
s,83,1495170160643,1495170160722
 ,32,1495170160733,1495170160801
m,77,1495170160936,1495170161048
o,79,1495170161014,1495170161127
n,78,1495170161150,1495170161251
e,69,1495170161206,1495170161284
y,89,1495170161420,1495170161487
========6trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495170161870,1495170161948
i,73,1495170162005,1495170162094
m,77,1495170162061,1495170162151
e,69,1495170162128,1495170162196
 ,32,1495170162252,1495170162342
i,73,1495170162421,1495170162501
s,83,1495170162488,1495170162578
 ,32,1495170162612,1495170162691
m,77,1495170162826,1495170162927
o,79,1495170162871,1495170162997
n,78,1495170163028,1495170163118
e,69,1495170163107,1495170163174
y,89,1495170163265,1495170163343
========7trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495170163737,1495170163804
i,73,1495170163827,1495170163906
m,77,1495170163883,1495170163939
e,69,1495170163973,1495170164030
 ,32,1495170164075,1495170164131
i,73,1495170164232,1495170164311
s,83,1495170164356,1495170164412
 ,32,1495170164435,1495170164502
m,77,1495170164660,1495170164761
o,79,1495170164738,1495170164862
n,78,1495170164885,1495170164997
e,69,1495170164986,1495170165064
y,89,1495170165132,1495170165200
========8trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495170165740,1495170165841
i,73,1495170165819,1495170165908
m,77,1495170165863,1495170165953
e,69,1495170165965,1495170166032
 ,32,1495170166066,1495170166122
i,73,1495170166212,1495170166302
s,83,1495170166291,1495170166358
 ,32,1495170166415,1495170166471
m,77,1495170166606,1495170166718
o,79,1495170166696,1495170166808
n,78,1495170166853,1495170166943
e,69,1495170166955,1495170167011
y,89,1495170167090,1495170167157
========9trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495170167551,1495170167641
i,73,1495170167652,1495170167719
m,77,1495170167697,1495170167776
e,69,1495170167776,1495170167832
 ,32,1495170167889,1495170167945
i,73,1495170168046,1495170168125
s,83,1495170168136,1495170168203
 ,32,1495170168237,1495170168316
m,77,1495170168440,1495170168552
o,79,1495170168530,1495170168631
n,78,1495170168665,1495170168755
e,69,1495170168766,1495170168833
y,89,1495170168901,1495170168968
========10trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495170169340,1495170169429
i,73,1495170169441,1495170169520
m,77,1495170169486,1495170169587
e,69,1495170169576,1495170169621
 ,32,1495170169677,1495170169745
i,73,1495170169835,1495170169913
s,83,1495170169925,1495170169970
 ,32,1495170170015,1495170170082
m,77,1495170170217,1495170170330
o,79,1495170170296,1495170170408
n,78,1495170170453,1495170170543
e,69,1495170170499,1495170170577
y,89,1495170170690,1495170170757
