yhlee18
password
a picture is worth a thousand words
6
10
========1trial========
KeyChar,keyCode,timePressed,timeReleased
a,65,1495112747279,1495112747391
 ,32,1495112747335,1495112747436
p,80,1495112747571,1495112747684
i,73,1495112747628,1495112747740
c,67,1495112747796,1495112747875
t,84,1495112747999,1495112748077
u,85,1495112748156,1495112748235
r,82,1495112748348,1495112748482
e,69,1495112748438,1495112748561
 ,32,1495112748539,1495112748629
i,73,1495112748730,1495112748820
s,83,1495112748876,1495112748978
 ,32,1495112748966,1495112749045
w,87,1495112749360,1495112749450
o,79,1495112749439,1495112749540
r,82,1495112749754,1495112749821
t,84,1495112749900,1495112749979
h,72,1495112750114,1495112750193
 ,32,1495112750418,1495112750507
a,65,1495112750643,1495112750755
 ,32,1495112750721,1495112750811
t,84,1495112751689,1495112751768
h,72,1495112751813,1495112751902
o,79,1495112752027,1495112752150
u,85,1495112752116,1495112752206
s,83,1495112752735,1495112752847
a,65,1495112752803,1495112752915
n,78,1495112753028,1495112753106
d,68,1495112753208,1495112753354
 ,32,1495112753365,1495112753444
w,87,1495112753759,1495112753838
o,79,1495112753894,1495112753984
r,82,1495112754074,1495112754153
d,68,1495112754299,1495112754400
s,83,1495112754378,1495112754468
========2trial========
KeyChar,keyCode,timePressed,timeReleased
a,65,1495112774065,1495112774155
 ,32,1495112774110,1495112774189
p,80,1495112774628,1495112774729
i,73,1495112774684,1495112774774
c,67,1495112774808,1495112774875
t,84,1495112774988,1495112775077
u,85,1495112775112,1495112775179
r,82,1495112775235,1495112775392
e,69,1495112775325,1495112775460
 ,32,1495112775427,1495112775539
i,73,1495112775832,1495112775899
s,83,1495112775978,1495112776090
 ,32,1495112776068,1495112776158
w,87,1495112776664,1495112776743
o,79,1495112776765,1495112776855
r,82,1495112776923,1495112777024
t,84,1495112777136,1495112777215
h,72,1495112777260,1495112777339
 ,32,1495112777418,1495112777485
a,65,1495112777789,1495112777856
 ,32,1495112777845,1495112777924
t,84,1495112778520,1495112778599
h,72,1495112778610,1495112778677
o,79,1495112778745,1495112778835
u,85,1495112778779,1495112778869
s,83,1495112779240,1495112779386
a,65,1495112779342,1495112779431
n,78,1495112779477,1495112779555
d,68,1495112779600,1495112779746
 ,32,1495112779724,1495112779814
w,87,1495112779904,1495112780005
o,79,1495112780028,1495112780106
r,82,1495112780152,1495112780253
d,68,1495112780365,1495112780489
s,83,1495112780455,1495112780545
========3trial========
KeyChar,keyCode,timePressed,timeReleased
a,65,1495112788938,1495112789016
 ,32,1495112789005,1495112789084
p,80,1495112789422,1495112789534
i,73,1495112789478,1495112789557
c,67,1495112789624,1495112789703
t,84,1495112789816,1495112789894
u,85,1495112789928,1495112789995
r,82,1495112790040,1495112790175
e,69,1495112790119,1495112790220
 ,32,1495112790187,1495112790277
i,73,1495112790367,1495112790468
s,83,1495112790536,1495112790638
 ,32,1495112790614,1495112790704
w,87,1495112791548,1495112791638
o,79,1495112791694,1495112791773
r,82,1495112791953,1495112792054
t,84,1495112792122,1495112792212
h,72,1495112792245,1495112792313
 ,32,1495112792381,1495112792459
a,65,1495112792650,1495112792751
 ,32,1495112792729,1495112792808
