yhlee18
password
watched pot never boils
3
10
========1trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495112655152,1495112655332
a,65,1495112655231,1495112655354
t,84,1495112655445,1495112655535
c,67,1495112655681,1495112655771
h,72,1495112655805,1495112655872
e,69,1495112655917,1495112656007
d,68,1495112656345,1495112656446
 ,32,1495112656468,1495112656547
p,80,1495112656997,1495112657109
o,79,1495112657065,1495112657177
t,84,1495112657267,1495112657391
 ,32,1495112657346,1495112657436
n,78,1495112658572,1495112658650
e,69,1495112658685,1495112658808
v,86,1495112658944,1495112659033
e,69,1495112659135,1495112659258
r,82,1495112659191,1495112659325
 ,32,1495112659337,1495112659460
b,66,1495112659641,1495112659731
o,79,1495112659742,1495112659821
i,73,1495112659922,1495112659978
l,76,1495112660080,1495112660181
s,83,1495112660260,1495112660316
========2trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495112661475,1495112661632
a,65,1495112661553,1495112661643
t,84,1495112661722,1495112661790
c,67,1495112661913,1495112662003
h,72,1495112662048,1495112662116
e,69,1495112662138,1495112662217
d,68,1495112662296,1495112662397
 ,32,1495112662386,1495112662464
p,80,1495112663117,1495112663263
o,79,1495112663207,1495112663319
t,84,1495112663455,1495112663589
 ,32,1495112663556,1495112663646
n,78,1495112663837,1495112663916
e,69,1495112663961,1495112664050
v,86,1495112664185,1495112664264
e,69,1495112664377,1495112664478
r,82,1495112664433,1495112664557
 ,32,1495112664546,1495112664624
b,66,1495112664996,1495112665074
o,79,1495112665086,1495112665175
i,73,1495112665209,1495112665288
l,76,1495112665389,1495112665479
s,83,1495112665513,1495112665569
========3trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495112666728,1495112666852
a,65,1495112666807,1495112666886
t,84,1495112666964,1495112667043
c,67,1495112667167,1495112667257
h,72,1495112667291,1495112667358
e,69,1495112667380,1495112667459
d,68,1495112667561,1495112667684
 ,32,1495112667685,1495112667774
p,80,1495112668224,1495112668348
o,79,1495112668292,1495112668393
t,84,1495112668461,1495112668596
 ,32,1495112668562,1495112668663
n,78,1495112668944,1495112669035
e,69,1495112669068,1495112669158
v,86,1495112669271,1495112669361
e,69,1495112669451,1495112669575
r,82,1495112669507,1495112669664
 ,32,1495112669631,1495112669743
b,66,1495112670148,1495112670227
o,79,1495112670238,1495112670328
i,73,1495112670295,1495112670384
l,76,1495112670475,1495112670576
s,83,1495112670610,1495112670666
========4trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495112671757,1495112671914
a,65,1495112671836,1495112671926
t,84,1495112672049,1495112672117
c,67,1495112672275,1495112672342
h,72,1495112672387,1495112672454
e,69,1495112672477,1495112672556
d,68,1495112672657,1495112672758
 ,32,1495112672770,1495112672848
p,80,1495112673670,1495112673782
o,79,1495112673737,1495112673838
t,84,1495112673917,1495112674063
 ,32,1495112674018,1495112674120
n,78,1495112674446,1495112674513
e,69,1495112674547,1495112674637
v,86,1495112674783,1495112674851
e,69,1495112674975,1495112675098
r,82,1495112675020,1495112675155
 ,32,1495112675132,1495112675211
b,66,1495112676089,1495112676156
o,79,1495112676167,1495112676268
i,73,1495112676235,1495112676313
l,76,1495112676403,1495112676516
s,83,1495112676617,1495112676685
========5trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495112681319,1495112681488
a,65,1495112681410,1495112681511
t,84,1495112681590,1495112681646
c,67,1495112682017,1495112682107
h,72,1495112682118,1495112682197
e,69,1495112682220,1495112682310
d,68,1495112682400,1495112682512
 ,32,1495112682501,1495112682579
p,80,1495112682985,1495112683075
o,79,1495112683030,1495112683119
t,84,1495112683210,1495112683333
 ,32,1495112683311,1495112683389
n,78,1495112683637,1495112683716
e,69,1495112683783,1495112683862
v,86,1495112684009,1495112684065
e,69,1495112684177,1495112684290
r,82,1495112684211,1495112684368
 ,32,1495112684549,1495112684638
b,66,1495112685145,1495112685223
o,79,1495112685235,1495112685336
i,73,1495112685325,1495112685392
l,76,1495112685471,1495112685561
s,83,1495112685595,1495112685662
========6trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495112686450,1495112686607
a,65,1495112686528,1495112686641
t,84,1495112686742,1495112686810
c,67,1495112686945,1495112687012
h,72,1495112687069,1495112687125
e,69,1495112687147,1495112687226
d,68,1495112687327,1495112687428
 ,32,1495112687429,1495112687496
p,80,1495112687777,1495112687878
o,79,1495112687845,1495112687946
t,84,1495112688014,1495112688126
 ,32,1495112688104,1495112688182
n,78,1495112688340,1495112688418
e,69,1495112688452,1495112688531
v,86,1495112688643,1495112688733
e,69,1495112688857,1495112688958
r,82,1495112688891,1495112689037
 ,32,1495112689004,1495112689093
b,66,1495112689431,1495112689498
o,79,1495112689532,1495112689622
i,73,1495112689589,1495112689667
l,76,1495112689746,1495112689847
s,83,1495112689904,1495112689982
========7trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495112690826,1495112691006
a,65,1495112690938,1495112691051
t,84,1495112691175,1495112691242
c,67,1495112691366,1495112691444
h,72,1495112691512,1495112691580
e,69,1495112691591,1495112691669
d,68,1495112691771,1495112691883
