yhlee18
password
time is money
6
10
========1trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495112553599,1495112553700
i,73,1495112553689,1495112553812
m,77,1495112553756,1495112553857
e,69,1495112554195,1495112554330
 ,32,1495112554386,1495112554499
i,73,1495112554713,1495112554802
s,83,1495112554893,1495112554993
 ,32,1495112554971,1495112555061
m,77,1495112555556,1495112555658
o,79,1495112555590,1495112555691
n,78,1495112555793,1495112555882
e,69,1495112555928,1495112556006
y,89,1495112556186,1495112556287
========2trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495112564815,1495112564905
i,73,1495112564894,1495112565006
m,77,1495112564950,1495112565040
e,69,1495112565096,1495112565231
 ,32,1495112565243,1495112565388
i,73,1495112565468,1495112565558
s,83,1495112565648,1495112565760
 ,32,1495112565715,1495112565816
m,77,1495112566019,1495112566109
o,79,1495112566053,1495112566143
n,78,1495112566244,1495112566323
e,69,1495112566413,1495112566491
y,89,1495112566536,1495112566626
========3trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495112574243,1495112574321
i,73,1495112574310,1495112574423
m,77,1495112574355,1495112574456
e,69,1495112574513,1495112574659
 ,32,1495112574648,1495112574771
i,73,1495112574952,1495112575041
s,83,1495112575165,1495112575300
 ,32,1495112575255,1495112575345
m,77,1495112575773,1495112575863
o,79,1495112575797,1495112575885
n,78,1495112576054,1495112576133
e,69,1495112576200,1495112576301
y,89,1495112576324,1495112576425
========4trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495112577640,1495112577741
i,73,1495112577719,1495112577843
m,77,1495112577775,1495112577887
e,69,1495112578057,1495112578169
 ,32,1495112578338,1495112578450
i,73,1495112578529,1495112578607
s,83,1495112578709,1495112578810
 ,32,1495112578822,1495112578912
m,77,1495112579305,1495112579406
o,79,1495112579350,1495112579440
n,78,1495112579575,1495112579688
e,69,1495112579755,1495112579856
y,89,1495112579913,1495112579991
========5trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495112581285,1495112581364
i,73,1495112581375,1495112581487
m,77,1495112581432,1495112581544
e,69,1495112581600,1495112581701
 ,32,1495112581972,1495112582084
i,73,1495112582140,1495112582230
s,83,1495112582332,1495112582422
 ,32,1495112582410,1495112582500
m,77,1495112582781,1495112582883
o,79,1495112582827,1495112582928
n,78,1495112583029,1495112583119
e,69,1495112583164,1495112583265
y,89,1495112583299,1495112583400
========6trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495112591118,1495112591196
i,73,1495112591152,1495112591275
m,77,1495112591219,1495112591309
e,69,1495112591376,1495112591489
 ,32,1495112591827,1495112591928
i,73,1495112591950,1495112592040
s,83,1495112592108,1495112592209
 ,32,1495112592175,1495112592243
m,77,1495112592310,1495112592400
o,79,1495112592355,1495112592445
n,78,1495112592547,1495112592636
e,69,1495112592715,1495112592805
y,89,1495112592828,1495112592918
========7trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495112594167,1495112594268
i,73,1495112594245,1495112594346
m,77,1495112594302,1495112594380
e,69,1495112594605,1495112594740
 ,32,1495112594853,1495112594943
i,73,1495112594988,1495112595078
s,83,1495112595157,1495112595235
 ,32,1495112595213,1495112595303
m,77,1495112595449,1495112595550
o,79,1495112595505,1495112595595
n,78,1495112595686,1495112595764
e,69,1495112595922,1495112596034
y,89,1495112596642,1495112596743
========8trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495112603898,1495112603999
i,73,1495112603988,1495112604123
m,77,1495112604067,1495112604156
e,69,1495112604191,1495112604336
 ,32,1495112604731,1495112604843
i,73,1495112604899,1495112604989
s,83,1495112605124,1495112605237
 ,32,1495112605214,1495112605327
m,77,1495112605822,1495112605900
o,79,1495112605855,1495112605959
n,78,1495112606024,1495112606103
e,69,1495112606182,1495112606272
y,89,1495112606260,1495112606339
========9trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495112612313,1495112612403
i,73,1495112612380,1495112612493
m,77,1495112612437,1495112612527
e,69,1495112612560,1495112612673
 ,32,1495112612696,1495112612785
i,73,1495112612853,1495112612932
s,83,1495112612977,1495112613079
 ,32,1495112613055,1495112613134
m,77,1495112613269,1495112613381
o,79,1495112613337,1495112613427
n,78,1495112613505,1495112613595
e,69,1495112614135,1495112614225
y,89,1495112614304,1495112614405
========10trial========
KeyChar,keyCode,timePressed,timeReleased
t,84,1495112615711,1495112615789
i,73,1495112615834,1495112615958
m,77,1495112615913,1495112615992
e,69,1495112616104,1495112616228
 ,32,1495112616273,1495112616397
i,73,1495112616532,1495112616633
s,83,1495112616802,1495112616925
 ,32,1495112616914,1495112617049
m,77,1495112617556,1495112617634
o,79,1495112617589,1495112617668
n,78,1495112617769,1495112617859
e,69,1495112617972,1495112618073
y,89,1495112618084,1495112618163
